County Name,Bachelors,Total,High school,Bachelors
Adams,2815.54,21658,18842.46,2815.54
Ashland,3620.98,16459,15142.28,3620.98
Barron,8411.76,46732,42058.8,8411.76
Bayfield,4399.88,15172,14413.4,4399.88
Brown,74477.76,265992,242052.72,74477.76
Buffalo,2488.32,13824,12718.08,2488.32
Burnett,2973.69,15651,14398.92,2973.69
Calumet,14691.69,50661,47114.73,14691.69
Chippewa,12010.85,63215,58157.8,12010.85
Clark,4317.84,35982,29505.24,4317.84
Columbia,13403.71,58277,54197.61,13403.71
Crawford,2687.04,16794,15114.6,2687.04
Dane,253329.02,516998,491148.1,253329.02
Dodge,14764.96,92281,82130.09,14764.96
Door,8821.36,28456,26748.64,8821.36
Douglas,10270.19,44653,41973.82,10270.19
Dunn,12010.41,44483,41369.19,12010.41
Eau Claire,31167.4,100540,93502.2,31167.4
Florence,802.8,4460,4147.8,802.8
Fond du Lac,23320.22,106001,97520.92,23320.22
Forest,1321.88,9442,8214.54,1321.88
Grant,10889.97,51857,47189.87,10889.97
Green,8711.25,37875,34845,8711.25
Green Lake,3562.92,19794,17616.66,3562.92
Iowa,5525.29,24023,22341.39,5525.29
Iron,1190.2,5951,5534.43,1190.2
Jackson,2935.52,20968,18451.84,2935.52
Jefferson,21417.84,89241,81209.31,21417.84
Juneau,3555.63,27351,23521.86,3555.63
Kenosha,46504.5,186018,167416.2,46504.5
Kewaunee,3576.29,21037,19354.04,3576.29
La Crosse,38405.07,116379,110560.05,38405.07
Lafayette,3124.44,17358,15622.2,3124.44
Langlade,3248.16,20301,18270.9,3248.16
Lincoln,4653.28,29083,26174.7,4653.28
Manitowoc,16801.4,84007,76446.37,16801.4
Marathon,32893.2,137055,124720.05,32893.2
Marinette,6340.65,42271,38466.61,6340.65
Marquette,2211.3,15795,14057.55,2211.3
Menominee,749.7,4410,3924.9,749.7
Milwaukee,322132.2,1073774,934183.38,322132.2
Monroe,8340.12,46334,41700.6,8340.12
Oconto,6108.64,38179,34361.1,6108.64
Oneida,9459.58,36383,33472.36,9459.58
Outagamie,51255.12,183054,172070.76,51255.12
Ozaukee,41524.97,88351,84816.96,41524.97
Pepin,1357.38,7541,6862.31,1357.38
Pierce,11659.76,41642,39559.9,11659.76
Polk,8972.2,44861,41720.73,8972.2
Portage,21561.6,71872,66840.96,21561.6
Price,2289.92,14312,12880.8,2289.92
Racine,52308.96,217954,193979.06,52308.96
Richland,3308.58,18381,16359.09,3308.58
Rock,36215.55,172455,153484.95,36215.55
Rusk,2239.2,14928,13136.64,2239.2
St. Croix,28392.21,86037,78293.67,28392.21
Sauk,14223.22,64651,58832.41,14223.22
Sawyer,3701.5,16825,15310.75,3701.5
Shawano,6856.64,42854,39425.68,6856.64
Sheboygan,29240.64,121836,116962.56,29240.64
Taylor,2940.7,21005,18484.4,2940.7
Trempealeau,5791.77,30483,27129.87,5791.77
Vernon,6335.07,30167,26546.96,6335.07
Vilas,5858.46,21698,20179.14,5858.46
Walworth,31585.68,112806,102653.46,31585.68
Washburn,3546.18,16119,14829.48,3546.18
Washington,39228.88,135272,127155.68,39228.88
Waukesha,170525.88,406014,389773.44,170525.88
Waupaca,9669.06,53717,48882.47,9669.06
Waushara,3873.75,25825,22209.5,3873.75
Winnebago,46650.06,172778,158955.76,46650.06
Wood,15285.8,76429,70314.68,15285.8
