County Name,Voters,Total,total,voting
Adams,17454,20875,20875,17454
Ashland,12413,16157,16157,12413
Barron,35720,45870,45870,35720
Bayfield,12161,15014,15014,12161
Brown,186184,248007,248007,186184
Buffalo,10566,13587,13587,10566
Burnett,12375,15457,15457,12375
Calumet,35733,48971,48971,35733
Chippewa,47706,62415,62415,47706
Clark,24599,34690,34690,24599
Columbia,43566,56833,56833,43566
Crawford,12920,16644,16644,12920
Dane,381989,488073,488073,381989
Dodge,69180,88759,88759,69180
Door,22709,27785,27785,22709
Douglas,34694,44159,44159,34694
Dunn,34798,43857,43857,34798
Eau Claire,77867,98736,98736,77867
Florence,3649,4423,4423,3649
Fond du Lac,78589,101633,101633,78589
Forest,7261,9304,9304,7261
Grant,40322,51208,51208,40322
Green,27889,36842,36842,27889
Green Lake,14663,19051,19051,14663
Iowa,17798,23687,23687,17798
Iron,4935,5916,5916,4935
Jackson,15818,20449,20449,15818
Jefferson,63829,83686,83686,63829
Juneau,20991,26664,26664,20991
Kenosha,123597,166426,166426,123597
Kewaunee,15725,20574,20574,15725
La Crosse,90176,114638,114638,90176
Lafayette,12487,16836,16836,12487
Langlade,15762,19977,19977,15762
Lincoln,22441,28743,28743,22441
Manitowoc,63232,81442,81442,63232
Marathon,101194,134063,134063,101194
Marinette,33182,41749,41749,33182
Marquette,12319,15404,15404,12319
Menominee,2853,4232,4232,2853
Milwaukee,711358,947735,947735,711358
Monroe,33003,44673,44673,33003
Oconto,29228,37660,37660,29228
Oneida,29359,35998,35998,29359
Outagamie,132271,176695,176695,132271
Ozaukee,66023,86395,86395,66023
Pepin,5765,7469,7469,5765
Pierce,31860,41019,41019,31860
Polk,33705,44205,44205,33705
Portage,55472,70019,70019,55472
Price,11460,14159,14159,11460
Racine,146898,195408,195408,146898
Richland,13821,18021,18021,13821
Rock,120148,160331,160331,120148
Rusk,11440,14755,14755,11440
St. Croix,61462,84345,84345,61462
Sauk,47209,61976,61976,47209
Sawyer,13103,16557,16557,13103
Shawano,32387,41949,41949,32387
Sheboygan,87925,115507,115507,87925
Taylor,15600,20689,20689,15600
Trempealeau,21831,28816,28816,21831
Vernon,21895,29773,29773,21895
Vilas,17621,21430,21430,17621
Walworth,78219,102228,102228,78219
Washburn,12679,15911,15911,12679
Washington,99510,131887,131887,99510
Waukesha,296081,389891,389891,296081
Waupaca,40540,52410,52410,40540
Waushara,19662,24496,24496,19662
Winnebago,130862,166994,166994,130862
Wood,57745,74749,74749,57745
