County Name,Democrat,Total,democrat,republican
Adams,8013,21658,8013,12778
Ashland,8723,16459,8723,6748
Barron,16356,46732,16356,28039
Bayfield,7889,15172,7889,6523
Brown,109056,265992,109056,138315
Buffalo,4976,13824,4976,8017
Burnett,5321,15651,5321,9703
Calumet,18237,50661,18237,29383
Chippewa,24021,63215,24021,36032
Clark,11154,35982,11154,22668
Columbia,26807,58277,26807,27972
Crawford,7389,16794,7389,8397
Dane,361898,516998,361898,118909
Dodge,29529,92281,29529,57214
Door,13089,28456,13089,13943
Douglas,22326,44653,22326,19200
Dunn,18238,44483,18238,23131
Eau Claire,50270,100540,50270,42226
Florence,1115,4460,1115,3166
Fond du Lac,36040,106001,36040,63600
Forest,3304,9442,3304,5759
Grant,21261,51857,21261,26447
Green,18180,37875,18180,17422
Green Lake,5740,19794,5740,13064
Iowa,12972,24023,12972,9368
Iron,2142,5951,2142,3511
Jackson,8596,20968,8596,11113
Jefferson,33911,89241,33911,48190
Juneau,9572,27351,9572,16684
Kenosha,87428,186018,87428,87428
Kewaunee,7152,21037,7152,12832
La Crosse,59353,116379,59353,47715
Lafayette,7463,17358,7463,9026
Langlade,6496,20301,6496,12992
Lincoln,10760,29083,10760,16577
Manitowoc,30242,84007,30242,47883
Marathon,52080,137055,52080,76750
Marinette,13526,42271,13526,27476
Marquette,5686,15795,5686,9477
Menominee,3395,4410,3395,882
Milwaukee,697953,1073774,697953,311394
Monroe,16680,46334,16680,26873
Oconto,11071,38179,11071,25198
Oneida,13825,36383,13825,20374
Outagamie,75052,183054,75052,97018
Ozaukee,32689,88351,32689,49476
Pepin,2714,7541,2714,4449
Pierce,16240,41642,16240,22070
Polk,14804,44861,14804,27365
Portage,34498,71872,34498,32342
Price,5009,14312,5009,8587
Racine,98079,217954,98079,108977
Richland,8087,18381,8087,9190
Rock,89676,172455,89676,70706
Rusk,4627,14928,4627,9553
St. Croix,40437,86037,40437,40437
Sauk,24567,64651,24567,36851
Sawyer,5215,16825,5215,10768
Shawano,16284,42854,16284,23141
Sheboygan,45079,121836,45079,67009
Taylor,5251,21005,5251,14493
Trempealeau,12498,30483,12498,16460
Vernon,13575,30167,13575,14781
Vilas,7594,21698,7594,13018
Walworth,40610,112806,40610,63171
Washburn,5802,16119,5802,9510
Washington,36523,135272,36523,90632
Waukesha,133984,406014,133984,243608
Waupaca,17189,53717,17189,33304
Waushara,8005,25825,8005,16528
Winnebago,74294,172778,74294,86389
Wood,29043,76429,29043,43564
